theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
3,0.420,0.7226065480611816,0.6103948456514664,1710516465728644.8,0.1336735812712694,0.14329424682300268
3,0.400,0.8635801063181078,0.6893956640803325,1839906060825538.2,0.12370937767945821,0.01171805433418546
3,0.380,0.7306871052081153,0.5159391646212603,1308124873989113.2,0.12913510420722996,0.14009477380042498
3,0.360,0.8034788105790261,0.47046747670608796,1130054054910281.2,0.17345797795722828,0.024239656820995308
3,0.340,0.7482671319317903,0.3959681207774726,898268665993792.2,0.1696447082476262,0.08352895184097821
3,0.320,0.8112828987926927,0.37432670696143044,799222870408939.8,0.15098599019118011,0.03942672582026343
3,0.300,0.7819565591204312,0.23340253101893982,467190418154117.06,0.07165952036914518,0.14861489428714722
4,1.200,0.3112503798822488,0.2380720176787052,1904114645102992.5,0.12920698673931502,0.5598201541885142
4,1.180,0.29789892474588187,0.22583843038860102,1776165166913961.5,0.12511429015109787,0.5772604162053675
4,1.160,0.2930905447757407,0.22012967079184756,1701923629081829.5,0.12453353451857836,0.5826506078371109
4,1.140,0.29752130733125415,0.22130400350283802,1681502884246783.0,0.12788031450869763,0.5748799145438932
4,1.120,0.31232983765593636,0.2300192493812384,1717060901548715.2,0.1357760140229431,0.5521890740306262
4,1.100,0.3390618402420573,0.2471964534782661,1812334740352910.8,0.14903935558515596,0.512214037495134
4,1.080,0.3765274406369567,0.27377905120561974,1970731526558094.2,0.17005380193200587,0.4537784049496921
4,1.060,0.4254073166119579,0.30885761468678297,2182064947886849.5,0.19712031905152072,0.3778913063837695
4,1.040,0.4781414202834608,0.3469735085651589,2405100073590093.5,0.22779446000126116,0.2945434015761277
4,1.020,0.5178475184240767,0.37587584910070143,2555336442278609.5,0.2538361140365862,0.22883580962973352
4,1.000,0.5254609629149173,0.38180105437723805,2544723603120627.0,0.26482194638124945,0.2102343104531865
4,0.980,0.5242419056415895,0.3967228871059446,2591294815662790.0,0.2465011769175816,0.22971729962477735
4,0.960,0.5184355888484147,0.4134493445548984,2645434636632249.5,0.21109331659796138,0.2708127203745968
4,0.940,0.538419341155484,0.4517301931132225,2830156604309337.5,0.18006925284839836,0.28167356298909313
4,0.920,0.6029719057841788,0.5294097060616156,3246259408002164.0,0.1543591875494752,0.24253811791859023
4,0.900,0.7017987733608656,0.6392850915285937,3834781121205923.0,0.12618080993859374,0.17139151327078994
4,0.880,0.7963466771046216,0.7442224647714382,4365047179206182.0,0.09261497354498674,0.10967753858459094
4,0.860,0.871382093676582,0.8259347023201254,4734211538913789.0,0.064658789593504,0.06174632617417789
4,0.840,0.9321229767919615,0.8886569676498229,4975273172174815.0,0.05138516436845724,0.013618325496852
4,0.820,0.9392654618569776,0.8964582162136886,4899450778887211.0,0.051131423158901186,0.0067335848145475795
4,0.800,0.8763838518262107,0.8352120913927222,4453385129688655.5,0.05950895531298317,0.06188443880010177
4,0.780,0.7918533807112647,0.7518757434689551,3908806496695838.0,0.07389706802611197,0.13277603670159563
4,0.760,0.7242745771447641,0.684516905605751,3467378607023985.0,0.08828539810740861,0.18643694086850382
4,0.740,0.7122929067167192,0.6708178142196396,3308565993189678.0,0.09875404123350076,0.18806221436727943
4,0.720,0.7762056808695676,0.7302425397138369,3504314857085429.5,0.10716137966120928,0.11557399266810646
4,0.700,0.8545045611138115,0.8022949094294226,3743135694617412.0,0.11992706434457653,0.024392564101171122
4,0.680,0.8375738808502107,0.7805573045193174,3537669029631465.5,0.1383118481119647,0.023174251631559544
4,0.660,0.7215470676716119,0.6643871440122119,2922595090328952.5,0.14631456517916808,0.1315168133689793
4,0.640,0.6660063903458785,0.6054906772924831,2582800901670903.5,0.15702587479580316,0.17650088632406766
4,0.620,0.7776548607728216,0.70755981082991,2923871898648124.5,0.1775166283508567,0.044304805755688854
4,0.600,0.8180170642622389,0.7572065244479512,3028092185354392.0,0.1463424579258464,0.035029158902437386
4,0.580,0.7919239501185051,0.7430028159145543,2872248080712042.0,0.10702870827977135,0.10039415147582631
4,0.560,0.8943426559849145,0.8462275944602686,3158484170711898.0,0.08651702228193585,0.01832389663538269
4,0.540,0.9009797367458845,0.852337696292829,3067672201290205.0,0.03466879707888787,0.06186893200926398
4,0.520,0.941792902677702,0.8774603269765836,3041125395582547.0,0.006480202127559013,0.045267170839588616
4,0.500,0.8881239755197274,0.8017993758013272,2672016974779027.0,0.009510115322149348,0.09659271639911512
4,0.480,0.7047889594578757,0.6187146944382442,1979407277356241.5,0.042374706353203014,0.2504704646761225
4,0.460,0.8352587839103578,0.7255868247439776,2224593759028486.8,0.1459373617502481,0.018064714430712538
4,0.440,0.7570539015070595,0.6614251049944277,1939710184439785.8,0.13928980311084455,0.10330579875224091
4,0.420,0.7217844184073524,0.6097424553690657,1706865185650082.0,0.13326888756843627,0.14452219936241725
4,0.400,0.8645417549043755,0.6902000980214805,1840087616495737.8,0.12365431524191732,0.010811376209868334
4,0.380,0.7302629561506067,0.515647619031553,1305990771265647.8,0.12888889861350455,0.14076484923446198
4,0.360,0.8032027008238433,0.47021431253335944,1128240900667456.5,0.17317466132467507,0.02479779070934415
4,0.340,0.7491266568298514,0.3964465519556002,898394442430585.8,0.16968135969329867,0.08263362709494365
4,0.320,0.8097115855478193,0.37348037547133944,796565072510437.6,0.15054045616753037,0.041439676697685925
4,0.300,0.7818791177905362,0.23338934541920073,466665586065902.94,0.07159442885244305,0.14875852382066992
5,1.200,0.3117640259500484,0.23849781990596208,1904901792140438.0,0.12926828386002526,0.5592454187468037
5,1.180,0.29811439619717806,0.2260331088843549,1775256030127273.5,0.12506133169749836,0.5770979112040091
5,1.160,0.2930074437444063,0.22009755819246685,1699339468895276.5,0.12435916911760746,0.5829078643923367
5,1.140,0.2971282099538073,0.22104144246533503,1677202450122054.0,0.12757245587111662,0.575580426644796
5,1.120,0.3116033825746489,0.22951412781478334,1710938414435380.2,0.13531690517488557,0.5533739483846886
